zipcode,number,letter
4555,6,A
4556,6,A
4558,6,A
4562,6,A
4563,6,A
4564,6,A
4565,6,A
4568,6,A
4570,6,A
4571,6,A
4572,6,A
4573,6,A
4574,6,A
4575,6,A
4576,6,A
4578,6,A
4579,6,A
4605,6,A
4606,6,A
4607,6,A
4609,6,A
4611,6,A
4612,6,A
4613,6,A
4614,6,A
4616,6,A
4617,6,A
4619,6,A
4622,6,A
4623,6,A
4624,6,A
4625,6,A
4626,6,A
4627,6,A
4628,6,A
4629,6,A
4630,6,A
4631,6,A
4634,6,A
4635,6,A
4637,6,A
4640,6,A
4642,6,A
4643,6,A
4644,6,A
4645,6,A
4646,6,A
4648,6,A
4649,6,A
4650,6,A
4652,6,A
4653,6,A
4654,6,A
4655,6,A
4657,6,A
4658,6,A
4660,6,A
4662,6,A
4664,6,A
4666,6,A
4667,6,A
4668,6,A
4669,6,A
4671,6,A
4672,6,A
4673,6,A
4674,6,A
4675,6,A
4676,6,A
4677,6,A
4679,6,A
4680,6,A
4681,6,A
4683,6,A
4684,6,A
4685,6,A
4686,6,A
4691,6,A
4693,6,A
4694,6,A
4730,7,
4732,7,
4733,7,
4734,7,
4735,7,
4736,7,
4737,7,
4738,7,
4739,7,
4740,7,
4742,7,
4743,7,
4744,7,
4745,7,
4746,7,
4747,7,
4750,7,
4756,7,
4757,7,
4758,7,
4760,7,
4761,7,
4762,7,
4763,7,
4764,7,
4765,6,A
4766,7,
4768,7,
4769,7,
4772,7,
4773,7,
4774,7,
4775,7,
4776,7,
4777,6,A
4779,7,
4780,7,
4781,7,
4783,7,
4785,7,
4786,7,
4787,7,
4841,6,A
4843,6,A
4847,6,A
4848,6,A
4849,6,A
4850,6,A
4851,6,A
4852,6,A
4853,6,A
4854,6,A
4855,6,A
4856,6,A
4858,6,A
4859,6,A
4860,6,A
4861,6,A
4862,6,A
4863,6,A
4864,6,A
4865,6,A
4901,6,A
4903,6,A
4910,6,A
4911,6,A
4912,6,A
4915,6,A
4917,6,A
4918,6,A
4920,6,A
4921,6,A
4922,6,A
4923,6,A
4924,6,A
4925,6,A
4926,6,A
4927,6,A
4928,6,A
4929,6,A
4930,6,A
4932,6,A
4933,6,A
4935,6,A
4936,6,A
4937,6,A
4938,6,A
4939,6,A
4941,6,A
4942,6,A
4943,6,A
4944,6,A
4945,6,A
4947,6,A
4949,6,A
4950,6,A
4951,6,A
4952,6,A
4953,6,A
4954,6,A
4955,6,A
4956,6,A
4957,6,A
4958,6,A
4961,6,A
4962,6,A
4963,6,A
4964,6,A
4965,6,A
4966,6,A
4967,6,A
4969,6,A
4970,6,A
4971,6,A
4973,6,A
4974,6,A
4975,6,A
4976,6,A
4978,6,A
4979,6,A
4981,6,A
4982,6,A
4983,6,A
4984,6,A
4985,6,A
4986,6,A
4987,6,A
4988,6,A
4989,6,A
4992,6,A
5001,6,A
5009,6,A
5030,6,A
5031,6,A
5032,6,A
5033,6,A
5034,6,A
5035,6,A
5036,6,A
5037,6,A
5038,6,A
5039,6,A
5040,6,A
5041,6,A
5042,6,A
5043,6,A
5045,6,A
5046,6,A
5047,6,A
5048,6,A
5049,6,A
5050,6,A
5051,6,A
5052,6,A
5053,6,A
5054,6,A
5055,6,A
5056,6,A
5058,6,A
5059,6,A
5060,6,A
5061,6,A
5062,6,A
5065,6,A
5067,6,A
5068,6,A
5069,6,A
5070,6,A
5071,6,A
5072,6,A
5073,6,A
5074,6,A
5075,6,A
5076,6,A
5077,6,A
5079,6,A
5081,6,A
5083,6,A
5084,6,A
5085,6,A
5086,6,A
5088,6,A
5089,6,A
5091,6,A
5101,6,A
5141,6,A
5142,6,A
5143,6,A
5146,6,A
5148,6,A
5149,6,A
5150,6,A
5151,6,A
5152,6,A
5153,6,A
5154,6,A
5155,6,A
5156,6,A
5158,6,A
5159,6,A
5161,6,A
5201,6,A
5250,6,A
5251,6,A
5252,6,A
5253,6,A
5254,6,A
5255,6,A
5257,6,A
5260,6,A
5261,6,A
5262,6,A
5301,6,A
5302,6,A
5303,6,A
5304,6,A
5340,6,A
5341,6,A
5342,6,A
5343,6,A
5344,6,A
5345,6,A
5346,6,A
5350,6,A
5351,6,A
5352,6,A
5353,6,A
5354,6,A
5355,6,A
5356,6,A
5357,6,A
5358,6,A
5359,6,A
5360,6,A
5361,6,A
5362,6,A
5363,6,A
5401,6,A
5402,6,A
5403,6,A
5404,6,A
5405,6,A
5406,6,A
5407,6,A
5408,6,A
5439,6,A
5440,6,A
5441,6,A
5442,6,A
5443,6,A
5444,6,A
5445,6,A
5446,6,A
5447,6,A
5448,6,A
5450,6,A
5451,6,A
5452,6,A
5453,6,A
5454,6,A
5455,6,A
5456,6,A
5457,6,A
5458,6,A
5459,6,A
5460,6,A
5461,6,A
5462,6,A
5463,6,A
5464,6,A
5465,6,A
5466,6,A
5468,6,A
5469,6,A
5470,6,A
5471,6,A
5472,6,A
5473,6,A
5474,6,A
5476,6,A
5477,6,A
5478,6,A
5479,6,A
5481,6,A
5482,6,A
5483,6,A
5485,6,A
5486,6,A
5487,6,A
5488,6,A
5489,6,A
5490,6,A
5491,6,A
5492,6,A
5494,6,A
5495,6,A
5601,6,A
5602,6,A
5603,6,A
5604,6,A
5633,6,A
5640,6,A
5641,6,A
5647,6,A
5648,6,A
5649,6,A
5650,6,A
5651,6,A
5652,6,A
5653,6,A
5654,6,A
5655,6,A
5656,6,A
5657,6,A
5658,6,A
5660,6,A
5661,6,A
5662,6,A
5663,6,A
5664,6,A
5665,6,A
5666,6,A
5667,6,A
5669,6,A
5670,6,A
5671,6,A
5672,6,A
5673,6,A
5674,6,A
5675,6,A
5676,6,A
5677,6,A
5678,6,A
5679,6,A
5680,6,A
5681,6,A
5682,6,A
5701,6,A
5702,6,A
5730,6,A
5731,6,A
5732,6,A
5733,6,A
5734,6,A
5735,6,A
5736,6,A
5737,6,A
5738,6,A
5739,6,A
5740,6,A
5741,6,A
5742,6,A
5743,6,A
5744,6,A
5745,6,A
5746,6,A
5747,6,A
5748,6,A
5750,6,A
5751,6,A
5753,6,A
5757,6,A
5758,6,A
5759,6,A
5760,6,A
5761,6,A
5762,6,A
5763,6,A
5764,6,A
5765,6,A
5766,6,A
5767,6,A
5768,6,A
5769,6,A
5770,6,A
5772,6,A
5773,6,A
5774,6,A
5775,6,A
5776,6,A
5777,6,A
5778,6,A
5819,6,A
5820,6,A
5821,6,A
5822,6,A
5824,6,A
5825,6,A
5826,6,A
5827,6,A
5828,6,A
5829,6,A
5830,6,A
5832,6,A
5833,6,A
5836,6,A
5837,6,A
5838,6,A
5839,6,A
5840,6,A
5841,6,A
5842,6,A
5843,6,A
5845,6,A
5846,6,A
5847,6,A
5848,6,A
5849,6,A
5850,6,A
5851,6,A
5853,6,A
5855,6,A
5857,6,A
5858,6,A
5859,6,A
5860,6,A
5861,6,A
5862,6,A
5863,6,A
5866,6,A
5867,6,A
5868,6,A
5871,6,A
5872,6,A
5873,6,A
5874,6,A
5875,6,A
5901,6,A
5902,6,A
5903,6,A
5904,6,A
5905,6,A
5906,6,A
5907,6,A
6001,5,A
6002,5,A
6006,5,A
6010,5,A
6011,5,A
6013,5,A
6016,5,A
6018,5,A
6019,5,A
6020,5,A
6021,5,A
6022,5,A
6023,5,A
6024,5,A
6025,5,A
6026,5,A
6027,5,A
6028,5,A
6029,5,A
6030,5,A
6031,5,A
6032,5,A
6033,5,A
6034,5,A
6035,5,A
6037,5,A
6039,5,A
6040,5,A
6041,5,A
6042,5,A
6043,5,A
6045,5,A
6050,5,A
6051,5,A
6052,5,A
6053,5,A
6057,5,A
6058,5,A
6059,5,A
6060,5,A
6061,5,A
6062,5,A
6063,5,A
6064,5,A
6065,5,A
6066,5,A
6067,5,A
6068,5,A
6069,5,A
6070,5,A
6071,5,A
6072,5,A
6073,5,A
6074,5,A
6075,5,A
6076,5,A
6077,5,A
6078,5,A
6079,5,A
6080,5,A
6081,5,A
6082,5,A
6083,5,A
6084,5,A
6085,5,A
6088,5,A
6089,5,A
6090,5,A
6091,5,A
6092,5,A
6093,5,A
6094,5,A
6095,5,A
6096,5,A
6098,5,A
6101,5,A
6102,5,A
6103,5,A
6104,5,A
6105,5,A
6106,5,A
6107,5,A
6108,5,A
6109,5,A
6110,5,A
6111,5,A
6112,5,A
6114,5,A
6115,5,A
6117,5,A
6118,5,A
6119,5,A
6120,5,A
6126,5,A
6127,5,A
6128,5,A
6129,5,A
6131,5,A
6132,5,A
6133,5,A
6134,5,A
6137,5,A
6138,5,A
6141,5,A
6142,5,A
6143,5,A
6144,5,A
6145,5,A
6146,5,A
6147,5,A
6151,5,A
6152,5,A
6153,5,A
6154,5,A
6155,5,A
6156,5,A
6160,5,A
6183,5,A
6226,5,A
6230,5,A
6231,5,A
6232,5,A
6234,5,A
6235,5,A
6237,5,A
6238,5,A
6239,5,A
6241,5,A
6242,5,A
6243,5,A
6244,5,A
6246,5,A
6247,5,A
6248,5,A
6249,5,A
6250,5,A
6251,5,A
6254,5,A
6255,5,A
6256,5,A
6258,5,A
6259,5,A
6260,5,A
6262,5,A
6263,5,A
6264,5,A
6266,5,A
6267,5,A
6268,5,A
6269,5,A
6277,5,A
6278,5,A
6279,5,A
6280,5,A
6281,5,A
6282,5,A
6320,5,A
6330,5,A
6331,5,A
6332,5,A
6333,5,A
6334,5,A
6335,5,A
6336,5,A
6338,5,A
6339,5,A
6340,5,A
6349,5,A
6350,5,A
6351,5,A
6353,5,A
6354,5,A
6355,5,A
6357,5,A
6359,5,A
6360,5,A
6365,5,A
6370,5,A
6371,5,A
6372,5,A
6373,5,A
6374,5,A
6375,5,A
6376,5,A
6377,5,A
6378,5,A
6379,5,A
6380,5,A
6382,5,A
6383,5,A
6384,5,A
