Zip (int),Station
49819,USA_MI_Hancock-Houghton.County.AP.727440_TMY3
50438,USA_IA_Mason.City.Muni.AP.725485_TMY3
52229,USA_IA_Cedar.Rapids.Muni.AP.725450_TMY3
41128,USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3
42375,USA_IN_Evansville.Rgnl.AP.724320_TMY3
60033,USA_WI_Janesville-Rock.County.AP.726415_TMY3
62028,USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY3
63767,USA_MO_Cape.Girardeau.Muni.AP.723489_TMY3
64083,USA_KS_Olathe-Johnson.County.Executive.AP.724468_TMY3
48765,USA_MI_Oscoda-Wurtsmith.AFB.726395_TMY3
30541,USA_TN_Chattanooga-Lovell.Field.AP.723240_TMY3
31097,USA_GA_Macon-Middle.Georgia.Rgnl.AP.722170_TMY3
31312,USA_GA_Savannah.Intl.AP.722070_TMY3
31999,USA_GA_Columbus.Metro.AP.722255_TMY3
32258,USA_FL_Jacksonville.NAS.722065_TMY3
32537,USA_FL_Crestview-Bob.Sikes.AP.722215_TMY3
20201,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3
20233,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3
20892,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3
42637,USA_KY_London-Corbin-Magee.Field.724243_TMY3
49759,USA_MI_Pellston-Emmet.County.AP.727347_TMY3
28607,USA_NC_Hickory.Rgnl.AP.723145_TMY3
50449,USA_IA_Mason.City.Muni.AP.725485_TMY3
29666,USA_SC_Anderson.County.AP.723125_TMY3
50071,USA_IA_Webster.City.Muni.AP.725478_TMY3
51532,USA_IA_Red.Oak.Muni.AP.725494_TMY3
52255,USA_IA_Monticello.Muni.AP.725475_TMY3
53553,USA_WI_Lone.Rock.AP.726416_TMY3
54221,USA_WI_Manitowac.Muni.AWOS.726455_TMY3
40997,USA_KY_London-Corbin-Magee.Field.724243_TMY3
43016,USA_OH_Ohio.State.University.AP.724288_TMY3
43842,USA_OH_Zanesville.Muni.AP.724286_TMY3
39322,USA_MS_Hattiesburg-Laurel.AP.722348_TMY3
32137,USA_FL_Daytona.Beach.Intl.AP.722056_TMY3
32826,USA_FL_Orlando.Executive.AP.722053_TMY3
35013,USA_AL_Gadsen.Muni.AWOS.722285_TMY3
35096,USA_AL_Anniston.Metro.AP.722287_TMY3
45808,USA_OH_Findlay.AP.725366_TMY3
38311,USA_TN_Jackson-McKellar.Sipes.Rgnl.AP.723346_TMY3
15915,USA_PA_Johnstown-Cambria.County.AP.725127_TMY3
16111,USA_PA_Franklin-Chess.Lemberton.AP.725267_TMY3
16803,USA_PA_State.College-Penn.State.University.725128_TMY3
17036,USA_PA_Harrisburg.Intl.AP.725115_TMY3
18826,USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY3
28345,USA_NC_Southern.Pines-Moore.County.AP.723143_TMY3
28463,USA_SC_North.Myrtle.Beach-Grand.Strand.Field.747915_TMY3
29056,USA_SC_Shaw.AFB.747900_TMY3
29904,USA_SC_Beaufort.MCAS.722085_TMY3
10117,USA_NY_New.York-Central.Park.725033_TMY3
11575,USA_NY_Republic.AP.744864_TMY3
11789,USA_NY_Islip-Long.Island.MacArthur.AP.725035_TMY3
24871,USA_WV_Bluefield-Mercer.County.AP.724125_TMY3
20035,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3
20585,USA_VA_Arlington-Ronald.Reagan.Washington.Natl.AP.724050_TMY3
20643,USA_VA_Quantico.MCAS.724035_TMY3
27411,USA_NC_Greensboro-Piedmont.Triad.Intl.AP.723170_TMY3
96811,USA_HI_Lihue.AP.911650_TMY3
92557,USA_CA_March.AFB.722860_TMY3
92707,USA_CA_Santa.Ana-John.Wayne.AP.722977_TMY3
97905,USA_OR_Baker.Muni.AP.726886_TMY3
99144,USA_WA_Fairchild.AFB.727855_TMY3
99575,USA_AK_Sleetmute.703407_TMY3
3450,USA_NH_Keene-Dillant.Hopkins.AP.726165_TMY3
3827,USA_NH_Pease.Intl.Tradeport.726055_TMY3
